matricula,delegacion,email,grupo
8309795,DF 4 SUR,jose.aranza@imss.gob.mx,Estrategico
98317487,VERACRUZ NORTE,test@gmail.com,Estrategico
7108486,AGUASCALIENTES,test@gmail.com,Estrategico
99024670,BAJA CALIFORNIA,test@gmail.com,Estrategico
7024193,CAMPECHE,test@gmail.com,Estrategico
8476691,JALISCO,test@gmail.com,Estrategico
8865086,COLIMA,test@gmail.com,Estrategico
99070201,CHIAPAS,test@gmail.com,Estrategico
7349939,CHIHUAHUA,test@gmail.com,Estrategico
9043322,DURANGO,test@gmail.com,Estrategico
11767081,GUANAJUATO,test@gmail.com,Estrategico
99138474,HIDALGO,test@gmail.com,Estrategico
8818843,JALISCO,test@gmail.com,Estrategico
10131469,EDO MEX OTE,test@gmail.com,Estrategico
8962774,EDO MEX PTE,test@gmail.com,Estrategico
7750315,MICHOACAN,test@gmail.com,Estrategico
8144761,MORELOS,test@gmail.com,Estrategico
3315398,NAYARIT,test@gmail.com,Estrategico
8342652,OAXACA,test@gmail.com,Estrategico
9187162,PUEBLA,test@gmail.com,Estrategico
5226597,QUERETARO,test@gmail.com,Estrategico
9443789,QUINTANA ROO,test@gmail.com,Estrategico
10489347,SAN LUIS POTOSI,test@gmail.com,Estrategico
8265984,SINALOA,test@gmail.com,Estrategico
11251719,SONORA,test@gmail.com,Estrategico
99280594,TABASCO,test@gmail.com,Estrategico
8685002,TAMAULIPAS,test@gmail.com,Estrategico
9900047,TLAXCALA,test@gmail.com,Estrategico
5146364,VERACRUZ SUR,test@gmail.com,Estrategico
5977207,YUCATAN,test@gmail.com,Estrategico
99383951,ZACATECAS,test@gmail.com,Estrategico
11579854,DF 1 NORTE,test@gmail.com,Tactico
8379491,DF 2 NORTE,test@gmail.com,Tactico
5887933,AGUASCALIENTES,test@gmail.com,Tactico
99029978,BAJA CALIFORNIA,test@gmail.com,Tactico
99031258,BAJA CALIFORNIA SUR,test@gmail.com,Tactico
99154149,DF 4 SUR,test@gmail.com,Tactico
10475753,CAMPECHE,test@gmail.com,Tactico
3328406,COLIMA,test@gmail.com,Tactico
98051271,COAHUILA,test@gmail.com,Tactico
11385936,CHIAPAS,test@gmail.com,Tactico
10158219,CHIHUAHUA,test@gmail.com,Tactico
11509023,DURANGO,test@gmail.com,Tactico
99113686,GUANAJUATO,test@gmail.com,Tactico
6244572,GUERRERO,test@gmail.com,Tactico
99370192,HIDALGO,test@gmail.com,Tactico
7434812,GUADALAJARA,test@gmail.com,Tactico
10101357,EDO MEX OTE,test@gmail.com,Tactico
9775536,EDO MEX PTE,test@gmail.com,Tactico
11334487,MICHOACAN,test@gmail.com,Tactico
10657215,MORELOS,test@gmail.com,Tactico
10884378,NAYARIT,test@gmail.com,Tactico
99072012,NUEVO LEON,test@gmail.com,Tactico
99206701,OAXACA,test@gmail.com,Tactico
9971203,PUEBLA,test@gmail.com,Tactico
99231761,QUERETARO,test@gmail.com,Tactico
99362930,QUINTANA ROO,test@gmail.com,Tactico
99250876,SAN LUIS POTOSI,test@gmail.com,Tactico
9125477,SINALOA,test@gmail.com,Tactico
99260467,SONORA,test@gmail.com,Tactico
10111719,TABASCO,test@gmail.com,Tactico
8684901,TAMAULIPAS,test@gmail.com,Tactico
98227056,TLAXCALA,test@gmail.com,Tactico
8925151,VERACRUZ NTE,test@gmail.com,Tactico
10905642,VERACRUZ SUR,test@gmail.com,Tactico
7693982,YUCATAN,test@gmail.com,Tactico
11324171,ZACATECAS,test@gmail.com,Tactico
8507139,DF 2 NORTE,test@gmail.com,Tactico
5888107,AGUASCALIENTES,test@gmail.com,Tactico
11919957,BAJA CALIFORNIA,test@gmail.com,Tactico
11236701,BAJA CALIFORNIA SUR,test@gmail.com,Tactico
10534296,COAHUILA,test@gmail.com,Tactico
99061713,COLIMA,test@gmail.com,Tactico
99077440,CHIAPAS,test@gmail.com,Tactico
11637145,CHIHUAHUA,test@gmail.com,Tactico
11120665,DURANGO,test@gmail.com,Tactico
11264543,GUANAJUATO,test@gmail.com,Tactico
9726888,HIDALGO,test@gmail.com,Tactico
99175443,MICHOACAN,test@gmail.com,Tactico
11009772,MORELOS,test@gmail.com,Tactico
99206864,NUEVO LEON,test@gmail.com,Tactico
98210795,OAXACA,test@gmail.com,Tactico
8908559,PUEBLA,test@gmail.com,Tactico
991411858,QUERETARO,test@gmail.com,Tactico
7989121,QUINTANA ROO,test@gmail.com,Tactico
8585873,SAN LUIS POTOSI,test@gmail.com,Tactico
99272803,SONORA,test@gmail.com,Tactico
99283884,TABASCO,test@gmail.com,Tactico
11910771,TAMAULIPAS,test@gmail.com,Tactico
6768768,TLAXCALA,test@gmail.com,Tactico
10821651,VERACRUZ NTE,test@gmail.com,Tactico
99328381,VERACRUZ SUR,test@gmail.com,Tactico
9981829,ZACATECAS,test@gmail.com,Tactico
10723919,DF 2 NORTE,test@gmail.com,Operativo
6777368,AGUASCALIENTES,test@gmail.com,Operativo
9926178,BAJA CALIFORNIA,test@gmail.com,Operativo
98070060,CHIAPAS,test@gmail.com,Operativo
6309844,CHIHUAHUA,test@gmail.com,Operativo
10994157,COAHUILA,test@gmail.com,Operativo
10034617,GUANAJUATO,test@gmail.com,Operativo
99209760,GUERRERO,test@gmail.com,Operativo
99274147,HIDALGO,test@gmail.com,Operativo
4287991,GUADALAJARA,test@gmail.com,Operativo
11023996,EDO MEX OTE,test@gmail.com,Operativo
8437599,EDO MEX PTE,test@gmail.com,Operativo
3320405,MICHOACAN,test@gmail.com,Operativo
10202331,MORELOS,test@gmail.com,Operativo
99143460,NAYARIT,test@gmail.com,Operativo
7789114,NUEVO LEON,test@gmail.com,Operativo
99390562,OAXACA,test@gmail.com,Operativo
11279974,PUEBLA,test@gmail.com,Operativo
11494646,QUERETARO,test@gmail.com,Operativo
99240655,QUINTANA ROO,test@gmail.com,Operativo
10349154,SAN LUIS POTOSI,test@gmail.com,Operativo
5812305,SINALOA,test@gmail.com,Operativo
99273493,SONORA,test@gmail.com,Operativo
99292916,TAMAULIPAS,test@gmail.com,Operativo
98227056,TLAXCALA,test@gmail.com,Operativo
98320062,VERACRUZ SUR,test@gmail.com,Operativo
99330641,YUCATAN,test@gmail.com,Operativo
9789901,ZACATECAS,test@gmail.com,Operativo
